OutputText;Text;Intent;MatchedEntities;Response;State;Color;Brightness;Temperature;Delay
Apri finestra Giulia.;apri finestra giulia;HassTurnOn;['cover.finestra_camera_giulia'];default;;;;;2.8582716243903206
Apri,porta vetri,soggiorno.;apri porta vetri soggiorno;HassTurnOn;['cover.porta_finestra'];default;;;;;1.9259008023459185
Capri,porta finestra,soggiorno.;apri porta finestra soggiorno;HassTurnOn;['cover.porta_finestra'];default;;;;;0.9689063685546444
chiudi porta fino a extra soggiorno;chiudi porta finestra soggiorno;HassTurnOff;['cover.porta_finestra'];default;;;;;0.6291084048484908
Che temperatura c'è in soggiorno?;che temperatura c'è in soggiorno;HassClimateGetTemperature;['riscalda_soggiorno'];default;;;;;1.3087551404402045
chiudi tutte le porte;chiudi tutte le porte;HassTurnOff;['cover.portone_garage','cover.porta_ingresso','cover.porta_garage','cover.porta_giardino','cover.porta_finestra'];cover_device_class;;;;;1.675000649551855
Apri il lucernaio del banio.;apri il lucernaio del bagno;HassTurnOn;['cover.velux'];default;;;;;1.8712018450490548
Apri lucernaio bagno;apri il lucernaio bagno;HassTurnOn;['cover.velux'];default;;;;;1.8667877490444336
Aprei tutti gli scuri!;apri tutti gli scuri;HassTurnOn;['cover.scuri_cucina','cover.scuri_camerina','cover.scuri_camera_da_letto','cover.scuri_camerina','cover.scuri_studiolo','cover.scuri_salotto','cover.scuri_camera_giulia'];cover_device_class;;;;;1.606186864336606
Dimmi la temperatura della camerina.;dimmi la temperatura della camerina;HassClimateGetTemperature;['cover.condizionatore_camerina'];default;;;;;2.2384524806692245
A pre portone garaggi.;apri portone garage;HassTurnOn;['cover.portone_garage'];default;;;;;2.676359690749486
Apri portone garage;apri portone garage;HassTurnOn;['cover.portone_garage'];default;;;;;1.680999649310077
spegni tutte le luci;spegni tutte le luci;HassTurnOff;['light.cucina','light.camera_da_letto','light.bagno','light.camerina','light.luce_cri','light.luce_marco','light.tv' 'light.ingresso','light.tavolo','light.specchiera','light.loggia','light.lavatrice','light.luce_sotto_soppalco','light.luce_sopra_soppalco','light.luce_camerina','light.salottino','light.salotto','light.luce_principale','light.comodino_destro','light.comodino_sinistro','light.luce_principale_1','light.studio','light.antibagno_sotto','light.corridoio_sotto','light.antibagno','light.scala'];default;;;;;2.6823963352727986
Dimmi tutte le porte apiarte.;dimmi tutte le porte aperte;HassGetState;['cover.portone_garage','cover.porta_ingresso','cover.porta_garage','cover.porta_giardino','cover.porta_finestra'];which;on;;;;0.6960412189233668
dimmi le porte aperte;dimmi le porte aperte;HassGetState;['cover.portone_garage','cover.porta_ingresso','cover.porta_garage','cover.porta_giardino','cover.porta_finestra'];which;on;;;;2.5358820055929874
dimmi quante porte aperte;dimmi quante porte aperte;HassGetState;['cover.portone_garage','cover.porta_ingresso','cover.porta_garage','cover.porta_giardino','cover.porta_finestra'];how_many;on;;;;1.9320870732738888
Dimmi dove sono le porte apiarte.;dimmi dove sono le porte aperte;HassGetState;['cover.portone_garage','cover.porta_ingresso','cover.porta_garage','cover.porta_giardino','cover.porta_finestra'];which;on;;;;1.684870619074666
Dimmi le finestre aperte.;dimmi le finestre aperte;HassGetState;[ 'cover.finestra_cucina','cover.finestra_camerina','cover.finestra_camera_da_letto','cover.finestra_bagno','cover.finestra_studiolo','cover.finestra_salotto','cover.finestra_cucina','cover.velux','cover.lucernaio'];which;on;;;;1.527751728181652
Chiudi tutte le porte.;chiudi tutte le porte;HassTurnOff;['cover.portone_garage' 'cover.porta_ingresso','cover.porta_garage','cover.porta_giardino','cover.porta_finestra'];default;;;;;1.1529588280574616
spenni tutte le luci;spegni tutte le luci;HassTurnOff;['light.cucina','light.camera_da_letto','light.bagno','light.camerina','light.luce_cri','light.luce_marco','light.tv','light.ingresso','light.tavolo','light.specchiera','light.loggia','light.lavatrice','light.luce_sotto_soppalco','light.luce_sopra_soppalco','light.luce_camerina','light.salottino','light.salotto','light.luce_principale','light.comodino_destro','light.comodino_sinistro','light.luce_principale_1','light.studio','light.antibagno_sotto','light.corridoio_sotto','light.antibagno','light.scala'];default;;;;;2.682379578116082
Accendi le luci del piano terra.;accendi le luci del piano terra;HassTurnOn;['light.cucina','light.camera_da_letto','light.bagno','light.camerina','light.luce_cri','light.luce_marco','light.tv','light.ingresso','light.tavolo','light.specchiera','light.loggia','light.lavatrice','light.luce_sotto_soppalco','light.luce_camerina','light.salottino','light.salotto','light.luce_principale','light.comodino_destro','light.comodino_sinistro','light.luce_principale_1','light.antibagno_sotto','light.corridoio_sotto'];lights_area;;;;;2.6094964482010146
Apreni gli scuri del piano terra.;apri gli scuri del piano terra;HassTurnOn;['light.cucina','light.camera_da_letto','light.bagno','light.camerina','light.luce_cri','light.luce_marco','light.tv','light.ingresso','light.tavolo','light.specchiera','light.loggia','light.lavatrice','light.luce_sotto_soppalco','light.luce_sopra_soppalco','light.luce_camerina','light.salottino','light.salotto','light.luce_principale','light.comodino_destro','light.comodino_sinistro','light.luce_principale_1','light.studio','light.antibagno_sotto','light.corridoio_sotto','light.antibagno','light.scala'];cover_device_class_area;;;;;1.3133480082256284
dimmi i punti luce accesi;dimmi i punti luce accesi;HassGetState;['light.cucina','light.camera_da_letto','light.bagno','light.camerina','light.luce_cri','light.luce_marco','light.tv','light.ingresso','light.tavolo','light.specchiera','light.loggia','light.lavatrice','light.luce_sotto_soppalco','light.luce_sopra_soppalco','light.luce_camerina','light.salottino','light.salotto','light.luce_principale','light.comodino_destro','light.comodino_sinistro','light.luce_principale_1','light.studio','light.antibagno_sotto','light.corridoio_sotto','light.antibagno','light.scala'];which;on;;;;0.8462561067040035
dimmi quanti punti luci accesi;dimmi quanti punti luce accesi;HassGetState;['light.cucina','light.camera_da_letto','light.bagno','light.camerina','light.luce_cri','light.luce_marco','light.tv','light.ingresso','light.tavolo','light.specchiera','light.loggia','light.lavatrice','light.luce_sotto_soppalco','light.luce_sopra_soppalco','light.luce_camerina','light.salottino','light.salotto','light.luce_principale','light.comodino_destro','light.comodino_sinistro','light.luce_principale_1','light.studio','light.antibagno_sotto','light.corridoio_sotto','light.antibagno','light.scala'];how_many;on;;;;1.0016591549315843
Apriportone in grasso.;apri portone ingresso;HassTurnOn;['cover.porta_ingresso'];default;;;;;2.5963405796667853
Apri portone ingresso.;apri portone ingresso;HassTurnOn;['cover.porta_ingresso'];default;;;;;0.8672235408397964
e accesa la luce cucina;è accesa la luce cucina;HassGetState;['light.cucina'];one_yesno;on;;;;0.5162136085311942
sono acese tutte le luci;sono accese tutte le luci;HassGetState;['light.cucina','light.camera_da_letto','light.bagno','light.camerina','light.luce_cri','light.luce_marco','light.tv','light.ingresso','light.tavolo','light.specchiera','light.loggia','light.lavatrice','light.luce_sotto_soppalco','light.luce_sopra_soppalco','light.luce_camerina','light.salottino','light.salotto','light.luce_principale','light.comodino_destro','light.comodino_sinistro','light.luce_principale_1','light.studio','light.antibagno_sotto','light.corridoio_sotto','light.antibagno','light.scala'];all;on;;;;0.993411433792206
apri finestra cucina;apri finestra cucina;HassTurnOn;['cover.finestra_cucina'];default;;;;;2.1574106541518137
Accendi la televisione.;accendi la televisione;HassTurnOn;['switch.tv'];default;;;;;1.8980033997874097
Accendi l'aradio.;accendi la radio;HassTurnOn;['switch.radio'];default;;;;;1.424514287672575
accendi radio;accendi radio;HassTurnOn;['switch.radio'];default;;;;;1.0815680673506554
