OutputText;Text;Intent;MatchedEntities;Response;State;Color;Brightness;Temperature;Delay
Accende luce porta al 10%;accendi luce porta al 10%;HassLightSet;['light.punto_luce_porta_1'];brightness;;;10.0;;1.3574487862752953
Accende luce cucina al 50%;accendi luce cucina al 50%;HassLightSet;['light.punto_luce_forno'];brightness;;;50.0;;1.8545904773484505
Accendi tutte le luci al 100%;accendi tutte le luci al 100%;HassLightSet;['light.punto_luce_tv','light.punto_luce_radio','light.punto_luce_lume','light.punto_luce_porta_1','light.punto_luce_forno','light.punto_luce_porta_2','light.punto_luce_porta_3','light.punto_luce_porta_4','light.punto_luce_porta_5','light.punto_luce_porta_6'];brightness;;;100.0;;2.2113557531412775
Accendi, area soggiorno al 50%;accendi area soggiorno al 50%;HassLightSet;['light.punto_luce_tv','light.punto_luce_radio','light.punto_luce_lume','light.punto_luce_porta_1'];brightness_area;;;50.0;;1.579902222909872
Accendi luce bagno 1 al 30%.;accendi luce bagno 1 al 30%;HassLightSet;['light.punto_luce_porta_3'];brightness_area;;;30.0;;2.8955613780937184
Accendilire il bagno 2 al 50%.;accendi luce bagno 2 al 50%;HassLightSet;['light.punto_luce_porta_4'];brightness_area;;;50.0;;1.246609049589221
facendo il luce camera da letto al 30%;accendi luce camera da letto al 30%;HassLightSet;['light.punto_luce_porta_2'];brightness_area;;;30.0;;0.5977769673993998
Accendi luce cameretta al 30%;accendi luce cameretta al 30%;HassLightSet;['light.punto_luce_porta_5'];brightness_area;;;30.0;;0.6684914404347906
accendi il ventilatore;accendi il ventilatore;HassTurnOn;['ventilatore'];default;;;;;2.658626374257101
spiegni il ventilatura.;spegni il ventilatore;HassTurnOff;['ventilatore'];default;;;;;0.5042410252550305
Accendi condizionatore giù a 20 gradi.;accendi condizionatore giù a 20 gradi;HassClimateSetTemperature;['climate.condizionatore_giu'];default;;;20.0;;1.0176266741806392
Accendi condizionatore a soggiorno abbienti gradi.;accendi condizionatore soggiorno a 20 gradi;HassClimateSetTemperature;['climate.condizionatore_giu'];default;;;20.0;;1.5339825228520096
Accende condizionatore sopra 25°.;accendi condizionatore sopra a 25 gradi;HassClimateSetTemperature;['climate.condizionatore_su'];default;;;25.0;;2.4114847890574116
accende luce tivu blue;accendi luce tv bleu;HassLightSet;['light.punto_luce_tv'];color;;Blu;;;0.6797771413145535
Accendi luce l'ume rosso.;accendi luce lume rosso;HassLightSet;['light.punto_luce_lume'];color;;Rosso;;;2.2839262188508576
accendi luce radio giallo;accendi luce radio giallo;HassLightSet;['light.punto_luce_radio'];color;;Giallo;;;1.04309484417168
Accendi luce porta soggiorno verde.;accendi luce porta soggiorno verde;HassLightSet;['light.punto_luce_porta_1'];color;;Verde;;;1.3501054356735258
che sono luce a ceza;ci sono luci accese;HassGetState;['light.punto_luce_tv','light.punto_luce_radio','light.punto_luce_lume','light.punto_luce_porta_1','light.punto_luce_forno','light.punto_luce_porta_2','light.punto_luce_porta_3','light.punto_luce_porta_4','light.punto_luce_porta_5','light.punto_luce_porta_6'];any;on;;;;1.4425853091397105
Ci sono finestra aperte.;ci sono finestre aperte;HassGetState;['cover.finestra_1','cover.finestra_2','cover.finestra_3','cover.finestra_4','cover.finestra_5'];any;on;;;;2.310477886710753
il gas é chiuto;il gas è chiuso;HassGetState;['gas_fornelli'];one_yesno;off;;;;2.6867228518717536
le luti sono spente;le luci sono spente;HassGetState;['light.punto_luce_tv','light.punto_luce_radio','light.punto_luce_lume','light.punto_luce_porta_1','light.punto_luce_forno','light.punto_luce_porta_2','light.punto_luce_porta_3','light.punto_luce_porta_4','light.punto_luce_porta_5','light.punto_luce_porta_6'];all;off;;;;2.1956291419157505
la tv espenta;la tv è spenta;HassGetState;['switch.tv'];one_yesno;off;;;;2.581580904450118
la radio è accesa;la radio è accesa;HassGetState;['switch.radio'];one_yesno;on;;;;2.2479335164191547
Quante luci sono eccese in soggiorno;quante luci sono accese in soggiorno;HassGetState;['light.punto_luce_tv','light.punto_luce_radio','light.punto_luce_lume','light.punto_luce_porta_1','light.punto_luce_forno','light.punto_luce_porta_2','light.punto_luce_porta_3','light.punto_luce_porta_4','light.punto_luce_porta_5','light.punto_luce_porta_6'];how_many;on;;;;1.0293836079581349
Quante finestre sono aperte?;quante finestre sono aperte;HassGetState;['cover.finestra_1','cover.finestra_2','cover.finestra_3','cover.finestra_4','cover.finestra_5'];how_many;on;;;;0.7385517022143352
quante porte sono aperte;quante porte sono aperte;HassGetState;['cover.porta','cover.porta_1','cover.porta_2','cover.porta_3','cover.porta_4'];how_many;on;;;;0.7611755267089686
