,Text,Intent,Domain,Name,Area,DeviceClass,Response,State
19,puoi cambiare la temperatura della custom_area in diciannove gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
20,puoi cambiare la temperatura della custom_area in diciannove gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
21,puoi cambiare la temperatura della custom_area in diciotto gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
22,puoi cambiare la temperatura della custom_area in diciotto gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
23,puoi cambiare la temperatura della custom_area in diciotto gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
24,puoi cambiare la temperatura della custom_area in diciassette gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
25,puoi cambiare la temperatura della custom_area in diciassette gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
26,puoi cambiare la temperatura della custom_area in diciassette gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
27,puoi cambiare la temperatura della custom_area in sedici gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
28,puoi cambiare la temperatura della custom_area in sedici gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
29,puoi cambiare la temperatura della custom_area in sedici gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
30,puoi cambiare la temperatura della custom_area in quindici gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
31,puoi cambiare la temperatura della custom_area in quindici gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
32,puoi cambiare la temperatura della custom_area in quindici gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
33,puoi cambiare la temperatura della custom_area in venticinque,HassClimateSetTemperature,none,none,custom_area,none,default,none
34,puoi cambiare la temperatura della custom_area in ventiquattro,HassClimateSetTemperature,none,none,custom_area,none,default,none
35,puoi cambiare la temperatura della custom_area in ventitre,HassClimateSetTemperature,none,none,custom_area,none,default,none
36,puoi cambiare la temperatura della custom_area in ventidue,HassClimateSetTemperature,none,none,custom_area,none,default,none
37,puoi cambiare la temperatura della custom_area in ventuno,HassClimateSetTemperature,none,none,custom_area,none,default,none
38,puoi cambiare la temperatura della custom_area in venti,HassClimateSetTemperature,none,none,custom_area,none,default,none
39,puoi cambiare la temperatura della custom_area in diciannove,HassClimateSetTemperature,none,none,custom_area,none,default,none
40,puoi cambiare la temperatura della custom_area in diciotto,HassClimateSetTemperature,none,none,custom_area,none,default,none
41,puoi cambiare la temperatura della custom_area in diciassette,HassClimateSetTemperature,none,none,custom_area,none,default,none
42,puoi cambiare la temperatura della custom_area in sedici,HassClimateSetTemperature,none,none,custom_area,none,default,none
43,puoi cambiare la temperatura della custom_area in quindici,HassClimateSetTemperature,none,none,custom_area,none,default,none
44,puoi cambiare la temperatura dello custom_area in venticinque gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
45,puoi cambiare la temperatura dello custom_area in venticinque gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
46,puoi cambiare la temperatura dello custom_area in venticinque gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
47,puoi cambiare la temperatura dello custom_area in ventiquattro gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
48,puoi cambiare la temperatura dello custom_area in ventiquattro gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
49,puoi cambiare la temperatura dello custom_area in ventiquattro gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
50,puoi cambiare la temperatura dello custom_area in ventitre gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
51,puoi cambiare la temperatura dello custom_area in ventitre gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
52,puoi cambiare la temperatura dello custom_area in ventitre gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
53,puoi cambiare la temperatura dello custom_area in ventidue gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
54,puoi cambiare la temperatura dello custom_area in ventidue gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
55,puoi cambiare la temperatura dello custom_area in ventidue gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
56,puoi cambiare la temperatura dello custom_area in ventuno gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
57,puoi cambiare la temperatura dello custom_area in ventuno gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
58,puoi cambiare la temperatura dello custom_area in ventuno gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
59,puoi cambiare la temperatura dello custom_area in venti gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
60,puoi cambiare la temperatura dello custom_area in venti gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
61,puoi cambiare la temperatura dello custom_area in venti gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
62,puoi cambiare la temperatura dello custom_area in diciannove gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
63,puoi cambiare la temperatura dello custom_area in diciannove gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
64,puoi cambiare la temperatura dello custom_area in diciannove gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
65,puoi cambiare la temperatura dello custom_area in diciotto gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
66,puoi cambiare la temperatura dello custom_area in diciotto gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
67,puoi cambiare la temperatura dello custom_area in diciotto gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
68,puoi cambiare la temperatura dello custom_area in diciassette gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
69,puoi cambiare la temperatura dello custom_area in diciassette gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
70,puoi cambiare la temperatura dello custom_area in diciassette gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
71,puoi cambiare la temperatura dello custom_area in sedici gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
72,puoi cambiare la temperatura dello custom_area in sedici gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
73,puoi cambiare la temperatura dello custom_area in sedici gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
74,puoi cambiare la temperatura dello custom_area in quindici gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
75,puoi cambiare la temperatura dello custom_area in quindici gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
76,puoi cambiare la temperatura dello custom_area in quindici gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
77,puoi cambiare la temperatura dello custom_area in venticinque,HassClimateSetTemperature,none,none,custom_area,none,default,none
78,puoi cambiare la temperatura dello custom_area in ventiquattro,HassClimateSetTemperature,none,none,custom_area,none,default,none
79,puoi cambiare la temperatura dello custom_area in ventitre,HassClimateSetTemperature,none,none,custom_area,none,default,none
80,puoi cambiare la temperatura dello custom_area in ventidue,HassClimateSetTemperature,none,none,custom_area,none,default,none
81,puoi cambiare la temperatura dello custom_area in ventuno,HassClimateSetTemperature,none,none,custom_area,none,default,none
82,puoi cambiare la temperatura dello custom_area in venti,HassClimateSetTemperature,none,none,custom_area,none,default,none
83,puoi cambiare la temperatura dello custom_area in diciannove,HassClimateSetTemperature,none,none,custom_area,none,default,none
84,puoi cambiare la temperatura dello custom_area in diciotto,HassClimateSetTemperature,none,none,custom_area,none,default,none
85,puoi cambiare la temperatura dello custom_area in diciassette,HassClimateSetTemperature,none,none,custom_area,none,default,none
86,puoi cambiare la temperatura dello custom_area in sedici,HassClimateSetTemperature,none,none,custom_area,none,default,none
87,puoi cambiare la temperatura dello custom_area in quindici,HassClimateSetTemperature,none,none,custom_area,none,default,none
88,puoi cambiare la temperatura del custom_area in venticinque gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
89,puoi cambiare la temperatura del custom_area in venticinque gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
90,puoi cambiare la temperatura del custom_area in venticinque gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
91,puoi cambiare la temperatura del custom_area in ventiquattro gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
92,puoi cambiare la temperatura del custom_area in ventiquattro gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
93,puoi cambiare la temperatura del custom_area in ventiquattro gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
94,puoi cambiare la temperatura del custom_area in ventitre gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
95,puoi cambiare la temperatura del custom_area in ventitre gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
96,puoi cambiare la temperatura del custom_area in ventitre gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
97,puoi cambiare la temperatura del custom_area in ventidue gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
98,puoi cambiare la temperatura del custom_area in ventidue gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
99,puoi cambiare la temperatura del custom_area in ventidue gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
100,puoi cambiare la temperatura del custom_area in ventuno gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
101,puoi cambiare la temperatura del custom_area in ventuno gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
102,puoi cambiare la temperatura del custom_area in ventuno gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
103,puoi cambiare la temperatura del custom_area in venti gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
104,puoi cambiare la temperatura del custom_area in venti gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
105,puoi cambiare la temperatura del custom_area in venti gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
106,puoi cambiare la temperatura del custom_area in diciannove gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
107,puoi cambiare la temperatura del custom_area in diciannove gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
108,puoi cambiare la temperatura del custom_area in diciannove gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
109,puoi cambiare la temperatura del custom_area in diciotto gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
110,puoi cambiare la temperatura del custom_area in diciotto gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
111,puoi cambiare la temperatura del custom_area in diciotto gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
112,puoi cambiare la temperatura del custom_area in diciassette gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
113,puoi cambiare la temperatura del custom_area in diciassette gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
114,puoi cambiare la temperatura del custom_area in diciassette gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
115,puoi cambiare la temperatura del custom_area in sedici gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
116,puoi cambiare la temperatura del custom_area in sedici gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
117,puoi cambiare la temperatura del custom_area in sedici gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
118,puoi cambiare la temperatura del custom_area in quindici gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
119,puoi cambiare la temperatura del custom_area in quindici gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
120,puoi cambiare la temperatura del custom_area in quindici gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
121,puoi cambiare la temperatura del custom_area in venticinque,HassClimateSetTemperature,none,none,custom_area,none,default,none
122,puoi cambiare la temperatura del custom_area in ventiquattro,HassClimateSetTemperature,none,none,custom_area,none,default,none
123,puoi cambiare la temperatura del custom_area in ventitre,HassClimateSetTemperature,none,none,custom_area,none,default,none
124,puoi cambiare la temperatura del custom_area in ventidue,HassClimateSetTemperature,none,none,custom_area,none,default,none
125,puoi cambiare la temperatura del custom_area in ventuno,HassClimateSetTemperature,none,none,custom_area,none,default,none
126,puoi cambiare la temperatura del custom_area in venti,HassClimateSetTemperature,none,none,custom_area,none,default,none
127,puoi cambiare la temperatura del custom_area in diciannove,HassClimateSetTemperature,none,none,custom_area,none,default,none
128,puoi cambiare la temperatura del custom_area in diciotto,HassClimateSetTemperature,none,none,custom_area,none,default,none
129,puoi cambiare la temperatura del custom_area in diciassette,HassClimateSetTemperature,none,none,custom_area,none,default,none
130,puoi cambiare la temperatura del custom_area in sedici,HassClimateSetTemperature,none,none,custom_area,none,default,none
131,puoi cambiare la temperatura del custom_area in quindici,HassClimateSetTemperature,none,none,custom_area,none,default,none
132,puoi cambiare la temperatura nella custom_area in venticinque gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
133,puoi cambiare la temperatura nella custom_area in venticinque gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
134,puoi cambiare la temperatura nella custom_area in venticinque gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
135,puoi cambiare la temperatura nella custom_area in ventiquattro gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
136,puoi cambiare la temperatura nella custom_area in ventiquattro gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
137,puoi cambiare la temperatura nella custom_area in ventiquattro gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
138,puoi cambiare la temperatura nella custom_area in ventitre gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
139,puoi cambiare la temperatura nella custom_area in ventitre gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
140,puoi cambiare la temperatura nella custom_area in ventitre gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
141,puoi cambiare la temperatura nella custom_area in ventidue gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
142,puoi cambiare la temperatura nella custom_area in ventidue gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
143,puoi cambiare la temperatura nella custom_area in ventidue gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
144,puoi cambiare la temperatura nella custom_area in ventuno gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
145,puoi cambiare la temperatura nella custom_area in ventuno gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
146,puoi cambiare la temperatura nella custom_area in ventuno gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
147,puoi cambiare la temperatura nella custom_area in venti gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
148,puoi cambiare la temperatura nella custom_area in venti gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
149,puoi cambiare la temperatura nella custom_area in venti gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
150,puoi cambiare la temperatura nella custom_area in diciannove gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
151,puoi cambiare la temperatura nella custom_area in diciannove gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
152,puoi cambiare la temperatura nella custom_area in diciannove gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
153,puoi cambiare la temperatura nella custom_area in diciotto gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
154,puoi cambiare la temperatura nella custom_area in diciotto gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
155,puoi cambiare la temperatura nella custom_area in diciotto gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
156,puoi cambiare la temperatura nella custom_area in diciassette gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
157,puoi cambiare la temperatura nella custom_area in diciassette gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
158,puoi cambiare la temperatura nella custom_area in diciassette gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
159,puoi cambiare la temperatura nella custom_area in sedici gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
160,puoi cambiare la temperatura nella custom_area in sedici gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
161,puoi cambiare la temperatura nella custom_area in sedici gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
162,puoi cambiare la temperatura nella custom_area in quindici gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
163,puoi cambiare la temperatura nella custom_area in quindici gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
164,puoi cambiare la temperatura nella custom_area in quindici gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
165,puoi cambiare la temperatura nella custom_area in venticinque,HassClimateSetTemperature,none,none,custom_area,none,default,none
166,puoi cambiare la temperatura nella custom_area in ventiquattro,HassClimateSetTemperature,none,none,custom_area,none,default,none
167,puoi cambiare la temperatura nella custom_area in ventitre,HassClimateSetTemperature,none,none,custom_area,none,default,none
168,puoi cambiare la temperatura nella custom_area in ventidue,HassClimateSetTemperature,none,none,custom_area,none,default,none
169,puoi cambiare la temperatura nella custom_area in ventuno,HassClimateSetTemperature,none,none,custom_area,none,default,none
170,puoi cambiare la temperatura nella custom_area in venti,HassClimateSetTemperature,none,none,custom_area,none,default,none
171,puoi cambiare la temperatura nella custom_area in diciannove,HassClimateSetTemperature,none,none,custom_area,none,default,none
172,puoi cambiare la temperatura nella custom_area in diciotto,HassClimateSetTemperature,none,none,custom_area,none,default,none
173,puoi cambiare la temperatura nella custom_area in diciassette,HassClimateSetTemperature,none,none,custom_area,none,default,none
174,puoi cambiare la temperatura nella custom_area in sedici,HassClimateSetTemperature,none,none,custom_area,none,default,none
175,puoi cambiare la temperatura nella custom_area in quindici,HassClimateSetTemperature,none,none,custom_area,none,default,none
176,puoi cambiare la temperatura nello custom_area in venticinque gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
177,puoi cambiare la temperatura nello custom_area in venticinque gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
178,puoi cambiare la temperatura nello custom_area in venticinque gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
179,puoi cambiare la temperatura nello custom_area in ventiquattro gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
180,puoi cambiare la temperatura nello custom_area in ventiquattro gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
181,puoi cambiare la temperatura nello custom_area in ventiquattro gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
182,puoi cambiare la temperatura nello custom_area in ventitre gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
183,puoi cambiare la temperatura nello custom_area in ventitre gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
184,puoi cambiare la temperatura nello custom_area in ventitre gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
185,puoi cambiare la temperatura nello custom_area in ventidue gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
186,puoi cambiare la temperatura nello custom_area in ventidue gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
187,puoi cambiare la temperatura nello custom_area in ventidue gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
188,puoi cambiare la temperatura nello custom_area in ventuno gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
189,puoi cambiare la temperatura nello custom_area in ventuno gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
190,puoi cambiare la temperatura nello custom_area in ventuno gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
191,puoi cambiare la temperatura nello custom_area in venti gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
192,puoi cambiare la temperatura nello custom_area in venti gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
193,puoi cambiare la temperatura nello custom_area in venti gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
194,puoi cambiare la temperatura nello custom_area in diciannove gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
195,puoi cambiare la temperatura nello custom_area in diciannove gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
196,puoi cambiare la temperatura nello custom_area in diciannove gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
197,puoi cambiare la temperatura nello custom_area in diciotto gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
198,puoi cambiare la temperatura nello custom_area in diciotto gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
199,puoi cambiare la temperatura nello custom_area in diciotto gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
200,puoi cambiare la temperatura nello custom_area in diciassette gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
201,puoi cambiare la temperatura nello custom_area in diciassette gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
202,puoi cambiare la temperatura nello custom_area in diciassette gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
203,puoi cambiare la temperatura nello custom_area in sedici gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
204,puoi cambiare la temperatura nello custom_area in sedici gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
205,puoi cambiare la temperatura nello custom_area in sedici gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
206,puoi cambiare la temperatura nello custom_area in quindici gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
207,puoi cambiare la temperatura nello custom_area in quindici gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
208,puoi cambiare la temperatura nello custom_area in quindici gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
209,puoi cambiare la temperatura nello custom_area in venticinque,HassClimateSetTemperature,none,none,custom_area,none,default,none
210,puoi cambiare la temperatura nello custom_area in ventiquattro,HassClimateSetTemperature,none,none,custom_area,none,default,none
211,puoi cambiare la temperatura nello custom_area in ventitre,HassClimateSetTemperature,none,none,custom_area,none,default,none
212,puoi cambiare la temperatura nello custom_area in ventidue,HassClimateSetTemperature,none,none,custom_area,none,default,none
213,puoi cambiare la temperatura nello custom_area in ventuno,HassClimateSetTemperature,none,none,custom_area,none,default,none
214,puoi cambiare la temperatura nello custom_area in venti,HassClimateSetTemperature,none,none,custom_area,none,default,none
215,puoi cambiare la temperatura nello custom_area in diciannove,HassClimateSetTemperature,none,none,custom_area,none,default,none
216,puoi cambiare la temperatura nello custom_area in diciotto,HassClimateSetTemperature,none,none,custom_area,none,default,none
217,puoi cambiare la temperatura nello custom_area in diciassette,HassClimateSetTemperature,none,none,custom_area,none,default,none
218,puoi cambiare la temperatura nello custom_area in sedici,HassClimateSetTemperature,none,none,custom_area,none,default,none
219,puoi cambiare la temperatura nello custom_area in quindici,HassClimateSetTemperature,none,none,custom_area,none,default,none
220,puoi cambiare la temperatura nel custom_area in venticinque gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
221,puoi cambiare la temperatura nel custom_area in venticinque gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
222,puoi cambiare la temperatura nel custom_area in venticinque gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
223,puoi cambiare la temperatura nel custom_area in ventiquattro gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
224,puoi cambiare la temperatura nel custom_area in ventiquattro gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
225,puoi cambiare la temperatura nel custom_area in ventiquattro gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
226,puoi cambiare la temperatura nel custom_area in ventitre gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
227,puoi cambiare la temperatura nel custom_area in ventitre gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
228,puoi cambiare la temperatura nel custom_area in ventitre gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
229,puoi cambiare la temperatura nel custom_area in ventidue gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
230,puoi cambiare la temperatura nel custom_area in ventidue gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
231,puoi cambiare la temperatura nel custom_area in ventidue gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
232,puoi cambiare la temperatura nel custom_area in ventuno gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
233,puoi cambiare la temperatura nel custom_area in ventuno gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
234,puoi cambiare la temperatura nel custom_area in ventuno gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
235,puoi cambiare la temperatura nel custom_area in venti gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
236,puoi cambiare la temperatura nel custom_area in venti gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
237,puoi cambiare la temperatura nel custom_area in venti gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
238,puoi cambiare la temperatura nel custom_area in diciannove gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
239,puoi cambiare la temperatura nel custom_area in diciannove gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
240,puoi cambiare la temperatura nel custom_area in diciannove gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
241,puoi cambiare la temperatura nel custom_area in diciotto gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
242,puoi cambiare la temperatura nel custom_area in diciotto gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
243,puoi cambiare la temperatura nel custom_area in diciotto gradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
244,puoi cambiare la temperatura nel custom_area in diciassette gradi centigradi,HassClimateSetTemperature,none,none,custom_area,none,default,none
245,puoi cambiare la temperatura nel custom_area in diciassette gradi celsius,HassClimateSetTemperature,none,none,custom_area,none,default,none
